Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location
,17,14,,Marble,1290.04,37.18,Yes,No,No,Waterways,No,Working Class,No
0.36,29,12,1249,Aluminium,6.98,24.01,No,No,No,Roadways,No,Working Class,No
0.89,27,,2255801,Stone,11025.79,88.52,Yes,Yes,No,Airways,No,Wealthy,No
0.61,18,7,89138,Marble,319.17,55.79,No,No,No,Airways,No,Wealthy,No
0.48,6,4,326,Brass,4.71,18.62,No,No,Yes,Roadways,No,Working Class,
,26,11,539,,3.19,24.84,No,Yes,No,Roadways,No,Wealthy,No
0.73,10,4,,Bronze,6.76,24.6,No,No,No,Roadways,No,Working Class,No
0.15,8,4,58,Wood,4.9,13.4,Yes,No,No,Waterways,No,Working Class,No
0.92,17,8,431,Aluminium,3.2,21.62,Yes,Yes,No,Airways,No,Working Class,No
0.76,32,16,728601,Marble,2363.91,25.52,No,No,Yes,Roadways,No,Working Class,No
0.4,21,10,256408,Marble,335.81,70.22,Yes,No,No,Waterways,No,Working Class,No
0.1,37,25,145950,Brass,65.88,80.94,No,No,Yes,Roadways,No,Working Class,No
0.26,37,6,22017,Brass,57.13,69.38,No,Yes,No,Airways,No,Wealthy,No
0.42,9,4,3867,,9.47,22.71,No,Yes,Yes,,No,Working Class,Yes
0.05,9,4,1105,Brass,5.62,13.14,No,No,No,Roadways,No,Working Class,No
0.57,15,7,26777,Marble,114.11,27.87,Yes,Yes,Yes,Airways,No,Wealthy,No
0.48,21,11,3153,Clay,14.3,16.87,No,No,No,Roadways,Yes,Working Class,No
,46,,,Clay,16.37,86.75,Yes,No,Yes,Airways,Yes,Working Class,No
0.2,17,13,1795,Clay,6.22,22.07,Yes,Yes,No,Airways,Yes,Working Class,Yes
0.06,14,6,606,Clay,6.04,12.43,Yes,No,Yes,Waterways,Yes,Working Class,No
0.12,43,23,5507,Aluminium,8.24,40.22,Yes,No,No,Waterways,No,Working Class,
0.28,9,4,382,Bronze,5.38,15.69,No,Yes,No,Airways,No,Wealthy,No
0.53,22,6,63498,Marble,112.91,98.72,No,No,Yes,Roadways,No,Wealthy,No
0.36,42,18,115926,Brass,451.59,48.88,Yes,No,Yes,Waterways,No,Working Class,No
0.62,28,17,1582139,Marble,12697.57,94.99,Yes,Yes,No,Airways,No,Working Class,No
0.27,30,10,14897,Bronze,34.68,36.8,No,No,Yes,Roadways,No,Working Class,No
0.24,49,28,9724016,Marble,23507.05,50.49,No,No,No,Waterways,Yes,Working Class,
,33,,997,Wood,3.68,12.43,No,No,No,Waterways,No,Wealthy,
0.6,23,14,19812,Bronze,112.5,53.36,Yes,No,No,Waterways,No,Working Class,No
0.88,18,9,266,Wood,3,21.98,No,Yes,No,Airways,No,Working Class,Yes
0.76,15,8,114831,Stone,236.08,78.35,Yes,Yes,Yes,Airways,No,Wealthy,No
0.83,,10,1205,Aluminium,11.53,10.46,Yes,No,No,,No,Working Class,
0.61,25,8,,Bronze,50.77,59.81,Yes,No,No,,No,Working Class,Yes
0.21,12,,28982,Marble,58.11,53.5,No,No,No,Roadways,No,Working Class,
0.08,37,22,13122717,Stone,14181.68,93.75,Yes,No,No,Waterways,No,Working Class,Yes
0.82,6,5,7062,Stone,54.87,41.52,No,No,No,Roadways,No,Working Class,No
0.2,26,17,3092040,Stone,3512.6,81.63,Yes,No,No,Waterways,No,Working Class,No
0.4,25,8,2821,Clay,8.3,12.9,No,No,No,Roadways,Yes,Working Class,No
,51,23,11346,Aluminium,26.44,66.95,No,Yes,Yes,Airways,No,Working Class,No
0.77,36,18,2744362,Marble,10510.31,31.65,Yes,No,No,Airways,Yes,Working Class,
0.36,31,9,5640,Bronze,11.52,95.32,Yes,No,Yes,Waterways,No,Working Class,No
0.05,4,,804,,6.36,22.3,Yes,No,No,Waterways,No,Working Class,No
0.39,50,8,609,Wood,5.94,19.22,No,Yes,No,Airways,No,Wealthy,Yes
0.55,24,12,18901,Bronze,64.57,85.18,No,Yes,No,Roadways,No,Working Class,
0.17,25,,,Aluminium,6.16,11.67,Yes,No,Yes,Airways,No,Working Class,Yes
1,17,13,7024,Bronze,78.37,27.18,No,No,No,Waterways,No,Working Class,Yes
0.56,15,8,77353,Marble,373.55,87.68,No,No,No,,No,Working Class,
0.95,31,15,7131,Clay,30.84,86.76,No,No,No,Roadways,Yes,Wealthy,No
0.15,35,24,828,Wood,5.82,11.1,Yes,No,No,Waterways,No,Working Class,No
0.11,30,17,,Bronze,9.55,43.31,No,No,Yes,,No,Working Class,No
0.14,22,8,820,Aluminium,6.92,23.62,Yes,No,Yes,Waterways,No,Working Class,No
0.36,38,6,20006,Brass,17.52,84.72,No,Yes,Yes,Roadways,No,Working Class,No
0.28,33,17,29044,Bronze,158.68,49.53,Yes,No,No,Waterways,No,Working Class,No
0.29,29,18,27571,Bronze,64.47,63.86,No,Yes,No,Airways,No,Working Class,No
0.8,21,10,,Aluminium,5.89,20.81,No,Yes,No,Airways,No,Wealthy,No
,14,6,208,Wood,3.83,19.9,No,Yes,No,Airways,No,Working Class,No
0.53,37,14,2835,Aluminium,5.72,24.16,No,No,Yes,Waterways,No,Working Class,No
0.9,40,18,36011,Brass,98.82,79.88,Yes,No,Yes,,No,Working Class,No
0.61,28,9,17627,Brass,100.41,72.91,No,No,Yes,Roadways,No,Working Class,Yes
0.97,3,3,63,Bronze,6.95,24.49,Yes,No,No,Airways,No,Working Class,No
0.13,19,,7630,,23.81,59.04,No,No,No,Airways,No,Working Class,No
0.96,6,,333,Brass,3.6,21.94,No,No,Yes,,No,Working Class,
0.25,18,,,Bronze,15.34,17.63,No,Yes,No,,No,Working Class,No
0.31,32,16,713,Wood,5.52,18.11,Yes,No,No,Airways,No,Working Class,No
0.62,23,15,798,Wood,5.9,17.37,No,No,Yes,Roadways,No,Working Class,No
0.47,42,33,29282087,Stone,105746.47,50.94,No,No,No,Roadways,No,Working Class,No
0.89,28,13,31311,Bronze,131.98,38.63,No,No,Yes,Airways,No,Wealthy,No
,,6,576,Aluminium,3.48,13.7,No,No,Yes,,No,Working Class,No
0.67,10,5,168,Aluminium,5.1,12.79,No,No,Yes,Roadways,No,Working Class,Yes
0.45,15,6,67157,Stone,255.99,86.52,No,No,No,,No,Working Class,Yes
0.12,15,7,90965,Stone,167.23,95.95,No,Yes,No,Airways,No,Wealthy,No
0.37,34,7,251,Wood,6.14,11.1,No,No,Yes,Roadways,No,Working Class,Yes
0.22,20,7,120716,Stone,94.12,26.77,No,No,No,Airways,No,Working Class,No
0.76,23,9,360,,3.16,24.46,No,Yes,No,Airways,No,Working Class,Yes
0.41,31,10,22370,Brass,131.47,43.3,No,Yes,Yes,,No,Working Class,No
0.34,3,3,11,,3.3,19.84,No,Yes,No,,No,Wealthy,No
0.36,37,23,143932,,122.93,64.85,Yes,No,Yes,Waterways,No,Working Class,No
,44,28,158886,Bronze,553,68.22,No,No,No,,No,Working Class,No
0.15,6,5,2414,Marble,5.5,19.85,No,No,No,Roadways,No,Working Class,No
0.38,39,13,14380,Bronze,40.92,91.04,No,No,Yes,Roadways,No,Working Class,No
0.71,34,9,23718,Bronze,71.54,82.55,No,No,No,Waterways,No,Working Class,Yes
0.65,18,6,1303,Clay,8.59,11.72,No,Yes,Yes,Roadways,Yes,Wealthy,No
0.64,29,13,2994,Aluminium,5.25,13.41,No,No,No,Roadways,No,Working Class,No
0.12,20,7,9139,Brass,14.17,85.67,Yes,No,No,Airways,No,Working Class,Yes
0.1,17,7,93846,,262.69,45.02,No,Yes,Yes,,No,Working Class,No
0.1,37,13,16342,,29.15,57.14,Yes,No,No,,No,Working Class,No
0.47,16,6,219,Aluminium,4.36,24.87,No,No,No,Airways,No,Working Class,No
,18,6,170,,4.56,12.79,No,Yes,No,Airways,No,Working Class,No
0.76,25,14,4551,Clay,48.64,14.13,Yes,No,No,Waterways,Yes,Wealthy,
0.04,18,9,,Marble,206.51,40.69,No,No,No,Airways,No,Working Class,Yes
0.46,21,,,Bronze,9.62,82.39,No,No,Yes,Airways,No,Working Class,Yes
0.15,25,17,715,Wood,4.07,20.28,No,No,Yes,Roadways,No,Working Class,No
0.83,16,7,36532,,65.56,78.7,No,No,Yes,Roadways,No,Wealthy,
0.27,7,5,4182,Marble,12.7,22.18,Yes,No,No,,No,Working Class,No
0.48,,5,7247,Stone,34.11,49.48,No,No,Yes,,No,Working Class,No
0.25,10,4,58,Wood,3.46,10.41,No,Yes,No,Airways,No,Wealthy,No
0.15,17,,509780,,649.95,62.32,Yes,Yes,Yes,Airways,No,Wealthy,
0.49,23,12,1196,Aluminium,4.07,12.44,No,Yes,No,Roadways,No,Working Class,No
0.63,9,4,708,,3.43,23.79,No,Yes,Yes,Airways,No,Working Class,Yes
0.81,19,14,265831,Stone,1167.59,27.6,No,No,Yes,Roadways,No,Working Class,No
0.2,29,7,537,Aluminium,5.47,24.94,No,Yes,No,Airways,No,Working Class,No
0.81,19,8,117499,Stone,913.8,89.83,No,Yes,Yes,Roadways,No,Wealthy,No
0.93,19,8,102566,Marble,452.14,89.85,No,No,No,Roadways,No,Working Class,No
0.11,,6,1032,,3.34,12.06,No,No,No,,Yes,Working Class,No
0.63,22,6,1624,Clay,6.09,12.92,No,Yes,No,Airways,Yes,Working Class,No
,22,11,1131,Aluminium,3.15,19.6,No,Yes,No,,No,Working Class,
0.49,12,8,3314,Bronze,6.15,12.03,Yes,No,No,Waterways,No,Working Class,
0.61,21,15,,Aluminium,8.43,15.02,Yes,No,Yes,Waterways,No,Working Class,No
0.96,14,6,993,Bronze,10.89,23.44,Yes,Yes,Yes,Airways,No,Working Class,No
0.38,43,14,1718,Aluminium,5.06,20.6,Yes,No,Yes,Waterways,No,Working Class,No
0.05,41,17,3071,Aluminium,6.1,11.62,Yes,No,No,Waterways,No,Working Class,No
0.64,33,17,38838,Bronze,115.38,58.53,Yes,No,No,Roadways,No,Working Class,
0.16,,4,,Marble,6.83,20.85,No,No,No,Roadways,No,Working Class,No
0.64,15,7,46622,Stone,261.92,62.8,No,No,No,,No,Working Class,No
0.06,10,,9102,Marble,9.89,96.42,No,Yes,Yes,Roadways,No,Working Class,No
0.15,41,9,1374,Aluminium,5.2,17.85,No,No,Yes,Airways,No,Working Class,No
0.37,27,6,602,Aluminium,5.18,11.67,Yes,No,No,Waterways,No,Working Class,Yes
0.18,15,6,361,Aluminium,6.14,12.49,Yes,No,No,,No,Working Class,No
0.74,7,5,5827,Stone,14.94,69.49,No,No,Yes,Roadways,No,Working Class,No
0.88,6,4,2541,Stone,12.78,13.75,No,Yes,Yes,Airways,No,Working Class,No
0.17,24,8,1765,Clay,3.86,12.71,No,No,No,Roadways,Yes,Working Class,No
0.82,9,4,166,Clay,3.88,21.07,No,Yes,No,Airways,Yes,Working Class,No
0.12,19,7,207649,Stone,219.89,95.47,No,No,Yes,Airways,No,Working Class,Yes
0.17,5,3,45,Clay,6.5,22.12,No,No,No,Roadways,Yes,Working Class,Yes
0.72,27,12,577202,Marble,2721.22,63.36,No,No,No,Waterways,No,Working Class,No
,5,4,10,,6.8,15.49,Yes,No,No,Airways,No,Wealthy,Yes
0.93,20,11,8087,,38.65,56.44,No,No,Yes,Waterways,No,Wealthy,No
0.44,3,3,284,Stone,5.68,11.13,Yes,Yes,No,Airways,No,Wealthy,No
0.06,19,8,2613,,6.11,20.2,Yes,No,Yes,,No,Working Class,No
0.61,11,6,143,Aluminium,6.27,23.26,Yes,Yes,No,,No,Wealthy,No
0.3,6,4,141,Clay,5.27,20.14,Yes,No,No,Airways,Yes,Working Class,No
0.28,8,4,94,Aluminium,6.61,23.46,Yes,No,Yes,Airways,No,Working Class,Yes
0.08,28,12,1097388,,3639.17,74.33,No,No,No,Airways,No,Wealthy,No
0.76,15,8,257,Wood,4.08,13.75,Yes,Yes,Yes,Airways,No,Wealthy,No
,23,12,,Aluminium,6.05,13.08,No,No,No,Airways,No,Working Class,
0.83,24,7,549,Aluminium,4.08,14.98,No,No,No,Roadways,No,Working Class,No
0.52,16,6,2226,Bronze,7.08,17.91,No,No,No,Roadways,No,Working Class,No
0.47,19,8,269,Wood,4.95,24.8,No,No,No,Waterways,No,Working Class,No
0.59,26,9,1120,Aluminium,6.85,24.19,Yes,No,No,Airways,No,Wealthy,No
,25,15,1926,Aluminium,3.65,20.72,No,Yes,No,Airways,No,Wealthy,No
,20,8,9949,Brass,43.72,46.11,No,No,No,,No,Working Class,No
0.4,20,12,511,Wood,3.22,16.8,No,No,Yes,Waterways,No,Working Class,No
0.16,33,20,5589,Clay,7.28,42.87,No,Yes,Yes,Roadways,Yes,Working Class,No
0.91,38,22,98032,,539.92,53.73,No,No,Yes,,No,Working Class,No
0.28,17,8,4475,Bronze,22.02,23.11,No,Yes,No,Airways,No,Working Class,Yes
0.02,19,7,93792,Marble,38.02,75.15,No,Yes,No,,No,Wealthy,No
0.82,,17,,Brass,345.2,82.28,Yes,Yes,No,Airways,No,Working Class,No
0.2,22,9,,Aluminium,4.3,18.43,No,Yes,No,Airways,No,Working Class,
0.69,18,7,1405,Clay,9.8,22.24,No,Yes,Yes,Roadways,Yes,Wealthy,No
0.8,,5,112,Aluminium,4.92,15.29,Yes,No,No,,No,Working Class,
0.51,43,13,,Brass,210.69,82.72,No,No,No,,No,Working Class,No
,45,7,278003,,166.74,71.77,Yes,Yes,Yes,,Yes,Working Class,No
0.87,22,16,,Marble,1042.06,79.03,No,No,Yes,Waterways,No,Working Class,No
0.21,7,5,17,Wood,3.75,22.68,Yes,No,No,Roadways,No,Working Class,No
0.54,22,6,84692,Stone,128.16,69.98,No,No,No,Roadways,No,Working Class,No
0.23,,13,855,Wood,6.42,23.95,Yes,No,No,Waterways,No,Wealthy,Yes
,3,2,13,,3.9,22.18,No,No,Yes,Roadways,No,Working Class,
0.33,11,7,323,,4.01,20.16,Yes,No,No,Airways,No,Working Class,No
0.08,8,5,873,Brass,4.41,21.2,Yes,Yes,No,Airways,No,Working Class,No
0.38,20,6,45873,Marble,42.52,99.04,No,No,Yes,Roadways,No,Working Class,
,41,12,2904327,Stone,7352.05,38.32,No,Yes,Yes,Airways,No,Wealthy,No
0.58,8,5,195,Aluminium,6.13,15.05,Yes,No,No,Airways,No,Working Class,No
0.67,64,22,196552,,717.54,47.54,No,No,No,Waterways,Yes,Working Class,No
,7,4,442,Brass,6.34,18.18,No,No,No,Roadways,No,Working Class,No
0.92,11,8,4044,Brass,21.78,19.46,Yes,No,Yes,Waterways,No,Working Class,No
0.64,19,6,,,21.44,11.97,Yes,No,No,Waterways,No,Working Class,No
0.74,37,12,222,Wood,3.72,16.16,No,No,No,Roadways,No,Working Class,No
0.22,35,14,21259,Bronze,26.38,39.25,No,Yes,No,Airways,No,Wealthy,No
0.23,12,7,228,Aluminium,6.36,22.86,Yes,No,Yes,Waterways,No,Working Class,No
0.44,35,13,18824,Bronze,79.01,97.81,No,No,No,Waterways,No,Working Class,No
0.78,3,2,,Stone,5.61,18.72,No,No,Yes,,No,Working Class,
0.59,36,,,Clay,5.37,15.45,No,No,No,Airways,Yes,Working Class,No
0.26,14,7,201,Wood,5.32,10.8,No,Yes,Yes,Roadways,No,Working Class,No
0.76,7,4,88,Aluminium,5.54,20.28,No,No,Yes,Roadways,No,Working Class,
0.04,15,6,52906,Stone,142.88,25.22,No,Yes,No,Airways,No,Working Class,No
0.51,6,5,4600,Stone,6.3,20.59,Yes,Yes,Yes,Airways,No,Wealthy,No
0.87,29,10,496,Wood,6.61,16.04,No,No,Yes,Airways,No,Working Class,No
0.23,4,4,1628,Stone,6.95,15.32,No,No,Yes,Airways,No,Working Class,No
0.49,54,26,441718,Brass,579.61,89.11,No,No,Yes,Waterways,No,Working Class,No
0.66,11,7,2779,Brass,19.82,14.27,No,No,No,Roadways,No,Wealthy,No
0.31,20,6,178480,Stone,125.33,60.29,Yes,No,No,Airways,No,Working Class,Yes
,30,10,612057,Marble,1146.43,37.38,No,No,No,Waterways,No,Working Class,No
0.52,30,25,6065475,Stone,28255.14,36.45,Yes,No,No,Airways,No,Working Class,No
0.26,7,5,,Clay,3,21.67,Yes,Yes,Yes,Airways,Yes,Working Class,No
,31,10,774398,Stone,1686.16,90.06,No,Yes,No,Roadways,No,Wealthy,No
0.53,7,5,666,Brass,6.49,15.69,Yes,No,Yes,Roadways,No,Working Class,No
0.71,3,2,12,Clay,5.1,23.47,No,Yes,No,Roadways,Yes,Wealthy,No
0.76,20,10,389,Wood,3.02,20.79,No,Yes,Yes,Airways,No,Wealthy,No
0.13,17,7,210,Wood,6.41,15.43,No,No,No,Airways,No,Wealthy,No
0.45,14,7,143,Wood,4.1,16.27,Yes,No,Yes,,No,Wealthy,
0.38,7,4,348,Bronze,3.8,24.23,Yes,Yes,No,Airways,No,Wealthy,No
0.56,15,,466,,4.96,11.57,No,No,No,Roadways,No,Working Class,No
0.32,35,7,535573,Stone,2927.17,59.79,No,Yes,No,Airways,No,Working Class,
0.23,24,9,19312,Brass,79.98,77.96,No,Yes,No,Airways,No,Wealthy,No
0.78,50,19,1878,Wood,14.46,14.38,Yes,No,No,Waterways,No,Wealthy,No
0.24,18,6,119,Wood,5.59,13.98,Yes,No,No,Waterways,No,Working Class,No
0.42,23,20,3073571,Stone,15226.48,78.66,Yes,No,No,Waterways,No,Working Class,No
0.03,18,8,4351,Bronze,5.98,23.09,No,No,Yes,Roadways,No,Working Class,Yes
0.41,44,15,3764,Aluminium,15.18,14.58,Yes,Yes,No,Airways,No,Working Class,No
,21,10,,Clay,13.27,18.24,No,No,Yes,Airways,Yes,Working Class,
0.24,38,26,1333,Wood,6.21,22.11,No,Yes,Yes,Roadways,No,Working Class,No
0.68,20,12,10751,Bronze,72.01,94.58,Yes,No,No,Waterways,No,Working Class,No
0.37,7,5,64,Wood,5.96,12.3,Yes,No,Yes,Airways,No,Working Class,No
0.6,7,5,5012,Marble,29.2,76.46,No,No,No,Airways,No,Working Class,
0.32,12,7,342,Aluminium,3.97,12.14,No,No,Yes,Airways,No,Working Class,Yes
0.04,26,6,115296,Stone,226.85,90.56,No,No,No,Airways,No,Working Class,No
0.13,16,7,3723,Brass,11.97,18.72,No,No,No,Roadways,No,Working Class,No
0.92,49,23,8239094,Marble,57319.17,58.42,No,No,No,Roadways,Yes,Working Class,No
0.38,8,5,799,,6.62,16.54,No,Yes,Yes,Airways,No,Working Class,No
0.05,21,8,269,Wood,5.76,23.23,No,No,Yes,Waterways,No,Working Class,Yes
0.19,17,6,529,Clay,4.86,19.34,No,Yes,No,Airways,Yes,Working Class,Yes
0.19,57,14,13473,Clay,35.17,61.88,Yes,No,Yes,Waterways,Yes,Working Class,No
0.62,25,13,36781,Brass,152.57,41.55,Yes,No,Yes,,No,Working Class,No
0.17,38,9,1169736,Stone,3798.29,71.82,No,No,No,Waterways,No,Working Class,No
0.92,15,6,507,Clay,4.85,12.94,Yes,No,No,Waterways,Yes,Working Class,No
0.18,27,7,7711,Bronze,19.61,93.99,Yes,Yes,No,Airways,No,Working Class,No
,13,8,4689,,5.76,16.93,No,Yes,No,Roadways,No,Working Class,
0.66,25,12,40648,Brass,150.31,86.1,Yes,No,No,Waterways,No,Working Class,No
0.87,12,7,,Brass,4.59,15.47,No,No,No,Roadways,No,Working Class,Yes
0.43,17,8,340,Wood,5.28,20.73,Yes,No,No,Waterways,No,Working Class,No
0.38,16,8,3792,Brass,20.42,18.25,No,Yes,No,Roadways,No,Wealthy,
0.23,18,6,2657,Bronze,4.46,22.66,No,No,Yes,,No,Wealthy,
0.56,6,5,,Stone,5.16,18.24,No,Yes,No,,No,Wealthy,Yes
,8,5,350,Bronze,3.34,17.02,No,No,No,Roadways,No,Working Class,Yes
0.7,39,19,1378,,5.43,21.23,Yes,Yes,Yes,Airways,No,Wealthy,No
0.49,8,4,67,Wood,6.44,23.44,No,No,Yes,Waterways,No,Working Class,No
0.72,24,11,210797,Marble,1157.62,63.36,No,No,Yes,Airways,No,Working Class,No
0.48,24,,2436,Clay,5.74,10.08,No,No,No,Airways,Yes,Working Class,No
0.64,26,11,830,Aluminium,3.78,20.32,No,Yes,No,Roadways,No,Wealthy,No
0.17,27,16,775329,Marble,1500.49,62.11,No,No,Yes,Roadways,No,Working Class,
0.4,11,7,534,,5.35,24.4,Yes,Yes,Yes,Airways,Yes,Working Class,
,,6,,Wood,6.38,24.94,No,No,No,,No,Working Class,No
0.31,31,10,4770,,11.78,24.01,No,No,Yes,,Yes,Wealthy,
0.63,5,5,1864,Marble,16.69,11.44,Yes,Yes,No,Airways,No,Working Class,No
0.21,19,6,1190,Clay,5.94,21.57,Yes,No,Yes,Airways,Yes,Working Class,No
0.34,8,,163,Clay,4.12,15.96,No,No,Yes,Waterways,Yes,Working Class,No
0.46,30,7,3411,Clay,3.04,18.65,No,No,Yes,Roadways,Yes,Working Class,No
0.64,11,7,2786,Brass,6.42,20.84,Yes,No,No,,No,Working Class,Yes
0.48,14,8,16115,Marble,49.52,62.97,Yes,No,No,Airways,No,Working Class,No
0.36,32,19,2515578,Marble,16096.58,91.24,No,Yes,No,,No,Wealthy,
0.05,36,16,11476,Clay,7.2,88.23,No,No,No,Roadways,Yes,Working Class,
0.75,7,5,2845,Marble,13.96,19.46,Yes,No,No,Roadways,No,Wealthy,No
,9,4,64,Wood,3.4,10.44,Yes,No,No,,No,Working Class,No
0.11,18,,1175,Clay,3.65,22.53,Yes,No,No,Waterways,Yes,Working Class,No
0.18,22,6,476,Aluminium,5.45,14.58,No,No,No,,No,Working Class,
0.72,14,6,2550,Bronze,6.67,15.96,No,Yes,Yes,Airways,No,Working Class,Yes
0.28,21,9,210898,Stone,467.8,38.86,Yes,No,No,Roadways,No,Working Class,No
0.78,34,21,7285369,Stone,16541.09,36.09,No,Yes,Yes,Airways,No,Wealthy,No
0.72,28,12,25684,Brass,114.28,36.15,No,No,No,Roadways,No,Working Class,No
0.8,56,22,7791,Clay,30.99,69.1,Yes,Yes,No,Airways,Yes,Working Class,No
0.41,3,2,76,Marble,6.67,24.58,No,Yes,No,Roadways,No,Working Class,No
0.23,22,,9789,,39.79,95.23,No,Yes,No,Airways,No,Wealthy,No
0.32,25,10,334109,Marble,1287.62,70.11,Yes,No,No,Waterways,No,Working Class,No
0.36,11,8,207,Aluminium,4.43,17.02,No,No,No,Roadways,No,Working Class,No
0.05,20,6,81599,Stone,45.12,39.26,No,Yes,No,Airways,No,Working Class,No
0.41,,11,68086,Brass,212.58,88.38,No,No,Yes,,Yes,Working Class,No
0.47,33,8,432410,Stone,720.91,54.12,Yes,Yes,No,,No,Working Class,No
0.39,3,2,26,Bronze,5.94,16.79,No,No,No,Roadways,No,Working Class,No
0.31,14,,72004,,198.5,99.72,No,No,No,,No,Working Class,No
0.05,39,13,32953,Bronze,91.54,27.95,No,Yes,Yes,Airways,No,Working Class,No
0.41,27,8,13585,Bronze,42.5,51.43,No,No,No,Roadways,No,Wealthy,Yes
0.69,21,7,181531,Stone,982.37,90.11,No,No,No,Airways,No,Working Class,No
0.21,44,10,43197,Brass,78.65,68.64,No,No,No,Roadways,No,Working Class,No
0.23,6,4,320,Brass,6.67,22.77,Yes,No,No,Airways,No,Working Class,No
0.39,10,4,60,Wood,6.76,22.61,Yes,No,No,Waterways,No,Wealthy,No
0.07,20,10,13465,Brass,8.95,75.75,Yes,No,No,Roadways,No,Working Class,No
0.02,31,11,409345,Marble,238.02,52.32,No,Yes,No,Roadways,No,Working Class,No
0.92,49,19,14460,Clay,59.23,52.02,No,No,No,Waterways,Yes,Working Class,No
,18,6,,Wood,6.41,17.69,No,No,Yes,Roadways,No,Working Class,No
0.31,15,7,45507,Marble,260.64,87.51,No,Yes,Yes,Roadways,No,Working Class,No
,41,21,7511,Aluminium,9.78,34.53,No,No,No,Roadways,No,Working Class,No
0.93,27,11,474,Wood,3.53,17.83,Yes,No,Yes,Waterways,No,Working Class,No
,35,6,2334,,8.29,24.33,No,Yes,Yes,Roadways,Yes,Wealthy,Yes
0.22,42,16,11156,Clay,28.39,44.96,No,No,No,Roadways,Yes,Working Class,No
0.75,16,6,2363,Bronze,13.67,18.21,No,No,No,Waterways,No,Working Class,No
0.33,34,21,15828,Clay,24.46,26.96,No,No,No,Roadways,Yes,Working Class,
0.86,16,6,1918,Bronze,17.83,23.41,No,Yes,No,Airways,No,Working Class,No
0.7,16,7,1046,Clay,6.65,15.85,Yes,Yes,No,,Yes,Working Class,
0.79,10,4,2989,Stone,5.84,16.47,No,No,Yes,Waterways,No,Working Class,No
0.64,29,22,94774,Brass,517.01,75.64,No,Yes,No,Airways,No,Wealthy,No
0.86,15,6,1753,,5.02,20.06,No,No,No,,No,Working Class,No
0.48,13,,,,57.99,38.94,No,Yes,No,Airways,No,Wealthy,Yes
0.46,21,11,6500,Bronze,11.4,80.74,No,No,Yes,Roadways,No,Working Class,No
0.46,9,5,9248,Marble,30.41,88.86,No,No,No,Roadways,No,Wealthy,No
,28,15,58159,Brass,287.72,32.25,Yes,No,Yes,,No,Wealthy,No
0.28,33,14,25947,Bronze,130.19,47.99,No,No,Yes,Roadways,No,Working Class,Yes
0.65,11,8,2864,Bronze,3.31,12.02,No,No,No,Airways,No,Working Class,No
0.41,19,7,389,Aluminium,4.32,23.91,No,No,No,Roadways,No,Working Class,Yes
0.91,6,4,2718,Marble,30.13,21.54,Yes,Yes,No,Airways,No,Wealthy,No
0.59,39,24,114056,Brass,406.46,66.06,Yes,No,Yes,,No,Wealthy,
0.35,12,8,111,Wood,5.26,11.97,No,Yes,Yes,Roadways,No,Working Class,Yes
0.69,19,,59541,Stone,485.66,85.74,No,No,No,Roadways,No,Working Class,
,12,,84,,6.31,19.05,Yes,No,No,Waterways,No,Working Class,
0.6,21,,1140,Aluminium,3.88,10.53,No,No,No,Waterways,No,Working Class,Yes
0.23,19,8,308,Wood,5.28,21.19,No,No,Yes,Waterways,No,Working Class,No
0.07,12,6,,Bronze,5.07,12.76,No,Yes,Yes,,No,Working Class,No
0.49,35,13,587,Wood,5.57,10.95,Yes,No,Yes,Waterways,No,Working Class,No
0.58,6,5,51,Wood,3.16,19.03,No,No,Yes,Airways,No,Working Class,No
0.92,22,10,337175,Marble,2797.21,56.87,Yes,No,No,Waterways,No,Working Class,No
0.13,25,14,11898,Brass,6.55,34.11,No,No,No,Waterways,No,Working Class,No
0.79,5,4,237,Brass,5.22,18.88,Yes,No,Yes,Waterways,No,Working Class,No
0.41,6,5,450,Brass,3.59,22.49,No,No,Yes,Roadways,No,Working Class,No
0.61,22,8,374425,Stone,2167.1,71.65,No,Yes,Yes,Airways,No,Wealthy,No
0.54,29,20,,Stone,25046.64,36.35,Yes,No,Yes,,No,Working Class,No
0.09,13,,,Brass,5.07,11.16,No,No,No,,No,Wealthy,No
,17,8,,Clay,6.03,16.4,No,No,No,,Yes,Working Class,Yes
0.84,27,8,558309,Stone,912.53,55.98,Yes,No,No,Waterways,No,Working Class,No
0.33,4,3,,Brass,4.29,17.04,No,No,No,Roadways,No,Working Class,No
0.9,45,21,5131637,Marble,12789.24,83.26,No,No,Yes,Waterways,Yes,Working Class,
0.33,29,8,2264,Clay,4.28,10.77,No,No,No,Airways,Yes,Working Class,Yes
,19,15,10603,Bronze,24.76,80.3,Yes,No,No,,No,Working Class,No
0.24,23,14,7548,Bronze,21.82,90.72,Yes,No,No,Waterways,No,Wealthy,Yes
0.52,24,6,199913,Stone,778.91,96.93,No,No,No,Roadways,No,Working Class,No
0.35,40,26,27779,,83.42,37.31,No,No,No,,Yes,Working Class,No
0.55,7,5,280,Brass,3.22,19.98,No,No,Yes,,No,Working Class,
0.03,40,25,7454,Aluminium,18.78,96.62,No,Yes,No,Airways,No,Working Class,No
,7,5,627,,4,20.07,Yes,Yes,No,,No,Wealthy,
